gtx1080ti,gtx1660ti,rtx3070,nvda,spy,bond,difficulty,btc
250,143,399,143.339996,380.640015,3.88,135899,16641.33008
250,143,399,144.020004,379.630005,3.83,134135,16552.32227
250,142,398,139.270004,381.329987,3.88,132809,16716.40039
251,142,398,150.740005,382.790009,3.84,132516,16919.29102
252,142,397,151.960007,379.649994,3.75,131104,16842.25
252,142,398,151.960007,379.649994,3.75,135038,16847.50586
252,142,399,151.960007,379.649994,3.75,127941,16796.97656
251,142,398,151.960007,379.649994,3.75,137610,16829.64453
250,143,398,160.940002,383.049988,3.67,136020,16818.38086
250,143,398,161.139999,383.25,3.68,129384,16904.52734
250,143,398,160.639999,379.230011,3.69,127492,16441.78711
250,142,396,165.720001,383.470001,3.57,135797,16759.04102
250,142,395,168.639999,385.179993,3.48,125971,16795.60938
250,142,396,168.639999,385.179993,3.48,129723,16646.98242
250,142,395,168.639999,385.179993,3.48,131771,17364.54688
250,142,395,171.460007,394.299988,3.44,133794,17813.64453
250,141,395,179.869995,401.609985,3.49,125068,17782.06641
250,141,394,185.309998,410.220001,3.51,132972,17206.44141
250,141,392,170.369995,394.109985,3.61,126477,17102.5
250,140,392,171.600006,394.940002,3.57,121962,17129.71094
250,140,391,171.600006,394.940002,3.57,132624,17134.2207
250,140,390,171.600006,394.940002,3.57,128995,17232.14844
250,140,390,162.729996,395.140015,3.48,132371,16847.34961
249,140,390,157.720001,392.940002,3.42,136744,17089.50586
248,140,390,165.300003,399.420013,3.51,131333,16975.23828
248,140,389,166.789993,403.950012,3.6,139018,17128.89453
247,140,389,166.589996,402.25,3.51,144268,16908.16992
247,140,387,166.589996,402.25,3.51,137876,17090.09766
246,140,387,166.589996,402.25,3.51,133387,16968.68359
247,140,385,169.990005,408.769989,3.53,141483,17168.00195
246,140,385,156.970001,395.48999,3.68,137347,16445.47656
245,140,384,158.270004,396.049988,3.75,131124,16217.63965
246,140,383,160.259995,399.089996,3.69,148153,16440.22266
245,140,380,163.179993,401.829987,3.68,157981,16463.88281
245,140,380,163.179993,401.829987,3.68,148678,16521.57617
245,140,380,163.179993,401.829987,3.68,148104,16602.26953
245,140,380,160.979996,399.549988,3.71,144369,16611.63672
246,140,379,160.979996,399.549988,3.71,151213,16195.58887
246,140,378,153.279999,396.630005,3.76,147310,15782.30078
244,140,378,151.470001,394.640015,3.83,161126,16291.22363
245,140,377,159.660004,397.73999,3.82,160275,16712.91992
245,140,375,159.660004,397.73999,3.82,155591,16696.2207
245,140,375,159.660004,397.73999,3.82,162209,16687.91211
246,140,375,157.149994,390.459991,3.77,159035,16670.42578
246,140,375,161.619995,396.779999,3.67,159947,16884.3418
247,140,375,167.220001,401.149994,3.8,167578,16617.48438
246,140,375,162.179993,396.660004,3.88,168831,16352.02832
246,140,375,158.070007,395.589996,3.82,161472,16799.72266
246,140,375,158.070007,395.589996,3.82,167539,17036.875
247,140,375,158.070007,395.589996,3.82,171567,17583.25195
247,140,375,148,388.049988,3.82,169056,15883.1582
247,140,375,141.619995,379.929993,4.12,176128,18543.76172
248,140,375,148.009995,381.109985,4.14,185635,20600.67188
248,140,375,142.279999,377.709991,4.22,186289,20924.62109
250,141,375,139.860001,377,4.17,197104,21285.05664
250,143,375,139.860001,377,4.17,195182,21144.83203
250,143,375,139.860001,377,4.17,199046,20208.76953
250,143,375,130.429993,371.470001,4.14,187006,20162.68945
250,143,374,138.5,383.899994,4.1,189507,20482.95898
250,143,374,138.110001,390.140015,4.07,194144,20494.89844
250,143,374,137.779999,386.440002,4.1,195852,20633.69531
250,143,375,131.039993,379.869995,4.02,203717,20817.98242
250,143,375,131.039993,379.869995,4.02,205630,20595.10352
250,143,375,131.039993,379.869995,4.02,192020,20287.95703
250,143,375,136.300003,383.070007,3.96,187920,20772.80273
250,145,377,128.690002,381.619995,4.04,194659,20092.23633
250,145,378,126.940002,378.790009,4.1,200911,19344.96484
250,145,380,125.080002,375.890015,4.25,205051,19567.76953
250,145,380,120.980003,365.119995,4.21,201809,19207.73438
255,147,380,120.980003,365.119995,4.21,197525,19172.38086
252,147,382,120.980003,365.119995,4.21,207671,19053.20313
253,148,383,121.129997,368.029999,4.24,201052,19138.08594
253,147,385,118.790001,368.98999,4.14,193569,19335.02734
253,149,385,123.440002,375.130005,4.01,198590,19550.4668
256,149,386,115.18,364.01001,4.02,205997,19268.5625
258,150,389,120.57,368.549988,4,197562,19068.91406
260,150,390,120.57,368.549988,4,209158,19185.4375
