gtx1080ti,gtx1660ti,rtx3070,nvda,spy,bond,difficulty,btc
308,193,482,155.259995,385.850006,2.99,34243,20856.35352
310,197,484,154.300003,387.269989,3.09,36063,21591.08008
310,197,485,154.300003,387.269989,3.09,36157,21716.82813
313,200,487,154.300003,387.269989,3.09,34803,21637.1543
313,200,490,154.559998,385.119995,3.01,34164,20547.81445
314,200,490,150.100006,382.109985,2.93,34705,20194.61914
315,200,495,141.75,375.880005,2.82,34120,20225.35352
315,200,496,148.990005,376.559998,2.88,34316,19297.31445
315,200,499,148.990005,376.559998,2.88,36031,19242.0957
316,201,500,148.990005,376.559998,2.88,36984,19274.83594
316,201,502,148.990005,376.559998,2.88,37212,19820.4707
316,203,504,153.610001,376.23999,2.98,40778,20108.3125
316,204,507,158.139999,381.230011,3.1,41513,20281.16992
316,207,510,169,390.230011,3.2,44133,20731.54492
316,208,511,173.119995,391.049988,3.2,42343,21028.23828
317,208,514,165,381.399994,3.13,40609,21496.49414
320,209,518,165,381.399994,3.13,40173,21233.60938
320,210,520,165,381.399994,3.13,39566,21084.64844
322,210,520,165.190002,376.640015,3.09,39027,19986.60742
324,214,525,162.259995,370.619995,3.16,37766,20719.41406
325,215,530,164.75,371.890015,3.31,38465,20594.29492
328,217,531,156.479996,365.51001,3.25,36438,20553.37109
328,218,535,156.479996,365.51001,3.25,36728,19010.90234
330,218,540,156.479996,365.51001,3.25,36105,20473.42578
330,220,540,156.479996,365.51001,3.25,35760,20385.71875
335,222,545,158.600006,370.51001,3.28,35850,22576.30469
336,224,550,160.949997,377.359985,3.33,33873,22196.73047
340,225,550,157.309998,376.850006,3.49,33632,22487.98633
341,225,554,160,379.850006,3.43,34237,26737.57813
341,226,559,176,394.880005,3.15,36371,28373.51367
343,228,560,176,394.880005,3.15,34889,29084.66602
345,230,562,176,394.880005,3.15,35597,30110.33008
347,231,565,184.809998,409.339996,3.04,36823,30215.2793
350,235,574,187.990005,413.929993,3.03,35983,31151.48047
352,236,580,184.720001,408.100006,2.98,36053,31371.74219
355,238,586,191.389999,414.779999,3.04,36685,29910.2832
359,240,590,190.820007,412.399994,2.96,35033,29835.11719
361,240,596,190.820007,412.399994,2.96,36821,29706.13867
363,242,599,190.820007,412.399994,2.96,35183,30467.80664
365,245,605,182.919998,409.420013,2.92,35282,29794.89063
367,246,610,187.240005,415.170013,2.94,35558,31792.55469
369,250,615,189.800003,413.549988,2.85,35256,31723.86523
370,250,617,181.860001,407.910004,2.74,36476,29443.36523
372,256,622,181.860001,407.910004,2.74,36463,29019.86719
376,260,625,181.860001,407.910004,2.74,35624,28622.625
380,260,630,181.860001,407.910004,2.74,36244,29251.14063
385,261,636,160.360001,398.670013,2.75,36631,29564.77734
388,265,645,160.199997,392.309998,2.75,36037,29653.13477
390,265,649,165.100006,392.559998,2.76,36912,29101.125
391,268,650,162.740005,392.829987,2.86,38125,30309.39648
396,270,650,173.320007,393.25,2.78,37995,29432.47266
398,270,659,173.320007,393.25,2.78,38855,29199.85938
400,270,664,173.320007,393.25,2.78,38397,30311.11914
400,272,666,169.369995,388.619995,2.84,38736,28720.35938
400,275,672,177.050003,403.5,2.89,39111,30424.47852
402,278,675,180.740005,406.529999,2.98,39171,29862.4082
405,278,685,175.089996,399.980011,2.88,37045,31304.375
407,278,690,167.880005,396.709991,2.93,37571,30098.58594
409,281,696,167.880005,396.709991,2.93,36828,29285.64258
411,283,700,167.880005,396.709991,2.93,36324,29030.91016
413,290,708,162.190002,389.369995,2.84,35462,28936.73438
414,292,713,173.470001,398.070007,2.91,36767,31016.18359
415,294,720,176.889999,404.48999,2.99,39355,30273.6543
415,294,725,180.339996,405.100006,3.05,41152,34060.01563
415,295,729,187.360001,411.100006,3.12,41438,35502.94141
415,295,731,187.360001,411.100006,3.12,43441,36042.50391
417,296,740,187.360001,411.100006,3.12,43064,36573.18359
418,297,745,198.669998,424.549988,3.05,43398,39695.74609
419,298,750,199.229996,417.079987,2.93,42356,37748.01172
420,299,752,194,415.01001,2.97,42605,38528.10938
420,300,754,185.410004,412.070007,2.99,43039,38472.1875
420,300,757,194.020004,423.589996,2.89,43214,37713.26563
420,300,760,194.020004,423.589996,2.89,44974,38605.85938
423,301,761,194.020004,423.589996,2.89,43308,39768.61719
425,303,764,189.669998,422.290009,2.85,45073,39241.42969
426,303,769,185.979996,417.23999,2.82,44237,38120.30078
428,305,775,197.179993,425.829987,2.77,45645,40448.42188
428,306,781,192.020004,423.670013,2.81,46397,39472.60547
430,306,786,203.029999,436.910004,2.9,46085,39478.375
435,306,790,203.029999,436.910004,2.9,46406,39738.72266
437,309,794,203.029999,436.910004,2.9,45199,40525.86328
439,309,799,217.089996,448.540009,2.9,46247,41371.51563
440,310,800,225.169998,446.920013,2.85,45421,41501.74609
444,310,800,217.199997,437.859985,2.93,45804,40828.17578
445,312,800,212,436.809998,2.85,45886,39721.20313
449,314,803,225.050003,443.549988,2.83,45121,40417.77734
450,315,809,225.050003,443.549988,2.83,46064,40552.31641
454,315,810,225.050003,443.549988,2.83,45482,39939.40234
455,315,811,225.050003,443.549988,2.83,47091,41160.21875
457,315,812,217.279999,438.029999,2.7,44286,40123.57031
460,317,814,225.369995,443.079987,2.72,44933,39533.71484
463,317,816,222.139999,444.109985,2.79,46219,42201.03906
465,320,819,239.169998,447.970001,2.72,44749,42781.08984
469,326,820,239.169998,447.970001,2.72,47251,42282.07813
471,330,820,239.169998,447.970001,2.72,47496,43505.13672
474,332,820,244.410004,445.589996,2.66,45847,43207.5
475,334,825,249.339996,446.890015,2.61,46197,45544.35547
480,338,828,272.540009,455.220001,2.54,49092,46624.50781
484,344,830,267.279999,453.130005,2.42,50068,46445.27344
487,350,831,273.75,453.309998,2.39,50045,45859.12891
